An Châu, Sơn Động, Bắc Giang
Bắc Lý, Hiệp Hòa, Bắc Giang
Bố Hạ, Yên Thế, Bắc Giang
Cao Thượng, Tân Yên, Bắc Giang
Chũ, Lục Ngạn, Bắc Giang
Đồi Ngô, Lục Nam, Bắc Giang
Kép, Lạng Giang, Bắc Giang
Nhã Nam, Tân Yên, Bắc Giang
Nham Biền, Yên Dũng, Bắc Giang
Phồn Xương, Yên Thế, Bắc Giang
Phương Sơn, Lục Nam, Bắc Giang
Tân An, Yên Dũng, Bắc Giang
Tây Yên Tử, Sơn Động, Bắc Giang
Thắng, Hiệp Hòa, Bắc Giang
Vôi, Lạng Giang, Bắc Giang
Bằng Lũng, Chợ Đồn, Bắc Kạn
Chợ Rã, Ba Bể, Bắc Kạn
Đồng Tâm, Chợ Mới, Bắc Kạn
Nà Phặc, Ngân Sơn, Bắc Kạn
Phủ Thông, Bạch Thông, Bắc Kạn
Vân Tùng, Ngân Sơn, Bắc Kạn
Yến Lạc, Na Rì, Bắc Kạn
Bảo Lạc, Bảo Lạc, Cao Bằng
Đông Khê, Thạch An, Cao Bằng
Hòa Thuận, Quảng Hòa, Cao Bằng
Nguyên Bình, Nguyên Bình, Cao Bằng
Nước Hai, Hòa An, Cao Bằng
Pác Miầu, Bảo Lâm, Cao Bằng
Quảng Uyên, Quảng Hòa, Cao Bằng
Tà Lùng, Quảng Hòa, Cao Bằng
Thanh Nhật, Hạ Lang, Cao Bằng
Thông Nông, Hà Quảng, Cao Bằng
Tĩnh Túc, Nguyên Bình, Cao Bằng
Trà Lĩnh, Trùng Khánh, Cao Bằng
Trùng Khánh, Trùng Khánh, Cao Bằng
Xuân Hòa, Hà Quảng, Cao Bằng
Cốc Pài, Xín Mần, Hà Giang
Đồng Văn, Đồng Văn, Hà Giang
Mèo Vạc, Mèo Vạc, Hà Giang
Nông trường Việt Lâm, Vị Xuyên, Hà Giang
Phố Bảng, Đồng Văn, Hà Giang
Tam Sơn, Quản Bạ, Hà Giang
Vị Xuyên, Vị Xuyên, Hà Giang
